distance_m,centroid_x_m,centroid_z_m,sigma_x_m,sigma_z_m,gaussian_equivalent_fwhm_x_m,gaussian_equivalent_fwhm_z_m,total_weight,effective_weighted_rays
0.38596762111033417,-2.2758952541347905e-06,-8.329733346739926e-07,0.0002574519133999456,9.957372098184785e-05,0.0006062529263057639,0.00023447819412637414,4056.763350927461,8074.606644367102
0.3885407385844031,-2.229254619106754e-06,-8.416256524874156e-07,0.0002526704552311175,9.957365888227341e-05,0.0005949934527653306,0.00023447804789305146,4056.763350927461,8074.606644367102
0.39111385605847193,-2.1826139840787203e-06,-8.50277970300839e-07,0.00024790468406879447,9.957359759959027e-05,0.0005837709193022619,0.0002344779035833608,4056.763350927461,8074.606644367102
0.39368697353254084,-2.135973349050686e-06,-8.58930288114262e-07,0.00024315552229579112,9.957353713379995e-05,0.0005725874979620988,0.0002344777611973057,4056.763350927461,8074.606644367102
0.39626009100660975,-2.0893327140226504e-06,-8.675826059276859e-07,0.00023842396244037772,9.957347748490386e-05,0.0005614455259703076,0.00023447762073488954,4056.763350927461,8074.606644367102
0.39883320848067866,-2.0426920789946143e-06,-8.762349237411092e-07,0.00023371107357535262,9.957341865290355e-05,0.0005503475208009434,0.0002344774821961159,4056.763350927461,8074.606644367102
0.4014063259547475,-1.996051443966582e-06,-8.848872415545323e-07,0.0002290180083767622,9.957336063780047e-05,0.0005392961967986655,0.00023447734558098825,4056.763350927461,8074.606644367102
0.4039794434288164,-1.9494108089385457e-06,-8.935395593679554e-07,0.00022434601091420148,9.957330343959599e-05,0.0005282944835234938,0.00023447721088950982,4056.763350927461,8074.606644367102
0.40655256090288533,-1.9027701739105123e-06,-9.021918771813788e-07,0.0002196964252520121,9.957324705829158e-05,0.0005173455460050818,0.00023447707812168403,4056.763350927461,8074.606644367102
0.40912567837695424,-1.8561295388824759e-06,-9.10844194994802e-07,0.0002150707049485177,9.957319149388854e-05,0.0005064528071117065,0.00023447694727751395,4056.763350927461,8074.606644367102
0.4116987958510231,-1.8094889038544422e-06,-9.194965128082252e-07,0.00021047042354861492,9.957313674638835e-05,0.0004956199722584324,0.00023447681835700308,4056.763350927461,8074.606644367102
0.414271913325092,-1.7628482688264048e-06,-9.281488306216491e-07,0.0002058972861733633,9.95730828157923e-05,0.0004848510566985096,0.00023447669136015446,4056.763350927461,8074.606644367102
0.4168450307991609,-1.7162076337983726e-06,-9.368011484350723e-07,0.0002013531423184647,9.957302970210173e-05,0.00047415041566149015,0.00023447656628697126,4056.763350927461,8074.606644367102
0.41941814827322976,-1.6695669987703364e-06,-9.454534662484953e-07,0.00019683999998126788,9.957297740531791e-05,0.0004635227776197813,0.00023447644313745643,4056.763350927461,8074.606644367102
0.42199126574729867,-1.6229263637423026e-06,-9.541057840619187e-07,0.00019236004124264657,9.957292592544217e-05,0.00045297328098116424,0.0002344763219116131,4056.763350927461,8074.606644367102
0.4245643832213676,-1.5762857287142666e-06,-9.627581018753417e-07,0.00018791563943499056,9.957287526247575e-05,0.0004425075145163241,0.00023447620260944426,4056.763350927461,8074.606644367102
0.4271375006954365,-1.5296450936862315e-06,-9.714104196887652e-07,0.00018350937802954817,9.957282541641992e-05,0.00043213156183514214,0.0002344760852309528,4056.763350927461,8074.606644367102
0.42971061816950534,-1.483004458658199e-06,-9.800627375021889e-07,0.0001791440713740296,9.957277638727587e-05,0.00042185205022002,0.0002344759697761416,4056.763350927461,8074.606644367102
0.43228373564357425,-1.4363638236301619e-06,-9.887150553156123e-07,0.00017482278740277746,9.957272817504488e-05,0.0004116762041042445,0.00023447585624501366,4056.763350927461,8074.606644367102
0.43485685311764316,-1.3897231886021274e-06,-9.973673731290356e-07,0.00017054887242439214,9.957268077972804e-05,0.0004016119034423847,0.00023447574463757154,4056.763350927461,8074.606644367102
0.43742997059171207,-1.343082553574091e-06,-1.0060196909424587e-06,0.00016632597806214155,9.957263420132657e-05,0.0003916677471501089,0.0002344756349538181,4056.763350927461,8074.606644367102
0.4400030880657809,-1.296441918546058e-06,-1.0146720087558824e-06,0.00016215809037653956,9.957258843984164e-05,0.0003818531216826156,0.00023447552719375606,4056.763350927461,8074.606644367102
0.44257620553984983,-1.2498012835180233e-06,-1.0233243265693054e-06,0.00015804956113177115,9.95725434952743e-05,0.00037217827466143913,0.000234475421357388,4056.763350927461,8074.606644367102
0.44514932301391874,-1.203160648489986e-06,-1.0319766443827287e-06,0.0001540051410715451,9.957249936762577e-05,0.0003626543932330935,0.0002344753174447167,4056.763350927461,8074.606644367102
0.4477224404879876,-1.1565200134619524e-06,-1.040628962196152e-06,0.00015003001493744218,9.957245605689704e-05,0.0003532936865309816,0.00023447521545574452,4056.763350927461,8074.606644367102
0.4502955579620565,-1.1098793784339181e-06,-1.0492812800095758e-06,0.00014612983778453066,9.957241356308918e-05,0.0003441094711921338,0.00023447511539047397,4056.763350927461,8074.606644367102
0.4528686754361254,-1.0632387434058839e-06,-1.057933597822999e-06,0.00014231077191442296,9.957237188620331e-05,0.00033511625832791065,0.00023447501724890773,4056.763350927461,8074.606644367102
0.45544179291019427,-1.0165981083778487e-06,-1.066585915636422e-06,0.000138579523444,9.957233102624041e-05,0.0003263298396367676,0.00023447492103104804,4056.763350927461,8074.606644367102
0.4580149103842632,-9.699574733498132e-07,-1.0752382334498452e-06,0.00013494337714832437,9.957229098320144e-05,0.00031776736945304557,0.0002344748267368972,4056.763350927461,8074.606644367102
0.4605880278583321,-9.233168383217783e-07,-1.0838905512632693e-06,0.00013141022775098294,9.957225175708743e-05,0.00030944743843009694,0.00023447473436645765,4056.763350927461,8074.606644367102
0.463161145332401,-8.76676203293743e-07,-1.0925428690766924e-06,0.0001279886052821776,9.95722133478994e-05,0.00030139013325402583,0.00023447464391973175,4056.763350927461,8074.606644367102
0.4657342628064699,-8.300355682657071e-07,-1.1011951868901156e-06,0.0001246876914925064,9.957217575563817e-05,0.00029361707529518906,0.00023447455539672146,4056.763350927461,8074.606644367102
0.46830738028053875,-7.833949332376727e-07,-1.109847504703539e-06,0.0001215173236231172,9.957213898030479e-05,0.0002861514294862293,0.00023447446879742927,4056.763350927461,8074.606644367102
0.47088049775460766,-7.367542982096391e-07,-1.1184998225169626e-06,0.00011848798113927793,9.957210302190008e-05,0.00027901787308202074,0.00023447438412185708,4056.763350927461,8074.606644367102
0.47345361522867657,-6.901136631816019e-07,-1.1271521403303852e-06,0.0001156107504150886,9.957206788042497e-05,0.0002722425124985208,0.00023447430137000708,4056.763350927461,8074.606644367102
0.4760267327027454,-6.43473028153569e-07,-1.1358044581438091e-06,0.00011289726193207473,9.957203355588031e-05,0.0002658527354267591,0.00023447422054188128,4056.763350927461,8074.606644367102
0.47859985017681433,-5.968323931255336e-07,-1.1444567759572317e-06,0.0001103595944860283,9.957200004826692e-05,0.00025987698525718647,0.0002344741416374816,4056.763350927461,8074.606644367102
0.48117296765088324,-5.501917580974985e-07,-1.1531090937706556e-06,0.00010801014138322042,9.957196735758564e-05,0.00025434444599583433,0.00023447406465681002,4056.763350927461,8074.606644367102
0.4837460851249521,-5.03551123069465e-07,-1.161761411584078e-06,0.00010586143486306743,9.957193548383733e-05,0.00024928462881128934,0.0002344739895998686,4056.763350927461,8074.606644367102
0.486319202599021,-4.569104880414295e-07,-1.1704137293975017e-06,0.00010392592719842927,9.957190442702272e-05,0.0002447268565652884,0.00023447391646665903,4056.763350927461,8074.606644367102
0.4888923200730899,-4.102698530133947e-07,-1.1790660472109254e-06,0.00010221573019834329,9.957187418714257e-05,0.0002406996503885341,0.00023447384525718308,4056.763350927461,8074.606644367102
0.4914654375471588,-3.6362921798535793e-07,-1.1877183650243485e-06,0.0001007423191069639,9.957184476419765e-05,0.000237230032415983,0.0002344737759714426,4056.763350927461,8074.606644367102
0.49403855502122773,-3.16988582957324e-07,-1.196370682837772e-06,9.951621185143514e-05,9.957181615818868e-05,0.000234342770473306,0.00023447370860943926,4056.763350927461,8074.606644367102
0.4966116724952966,-2.7034794792928953e-07,-1.2050230006511944e-06,9.854663965154595e-05,9.957178836911634e-05,0.00023205960242190217,0.0002344736431711747,4056.763350927461,8074.606644367102
0.4991847899693655,-2.2370731290125386e-07,-1.2136753184646187e-06,9.784122932130972e-05,9.957176139698135e-05,0.00023039848803629,0.00023447357965665058,4056.763350927461,8074.606644367102
0.5017579074434344,-1.7706667787321931e-07,-1.2223276362780415e-06,9.740572019517194e-05,9.957173524178435e-05,0.00022937294241626684,0.00023447351806586838,4056.763350927461,8074.606644367102
0.5043310249175033,-1.3042604284518446e-07,-1.230979954091465e-06,9.724373862371132e-05,9.957170990352598e-05,0.00022899150496486577,0.00023447345839882965,4056.763350927461,8074.606644367102
0.5069041423915722,-8.378540781714801e-08,-1.2396322719048891e-06,9.735664989837511e-05,9.957168538220685e-05,0.00022925739069775406,0.00023447340065553586,4056.763350927461,8074.606644367102
