order,h,k,l,nominal_energy_kev,energy_kev,energy_shift_ev,peak_reflectivity,integrated_reflectivity_urad,relative_integrated_reflectivity,energy_integrated_reflectivity_ev,relative_energy_integral
2,2,2,0,5.0,5.000471241281782,0.47124128178256797,0.6637229218957715,73.99912468782193,51.55608779986677,0.46842743006539206,12.89023671781162
4,4,4,0,10.0,10.000173857049907,0.17385704990738304,0.8089046872885888,12.71179537894874,8.85646203810944,0.16092341705237911,4.428308006972848
6,6,6,0,15.0,15.000072471415736,0.07247141573679983,0.48958493063253905,3.1224552892384425,2.1754524762592005,0.0592917662269114,1.6315972401004415
8,8,8,0,20.0,20.0,0.0,0.49807384379174924,1.4353130318009342,1.0,0.03633970735526703,1.0
