name,voltage_kV,electrical_power_W,bremsstrahlung_efficiency,estimated_total_xray_power_W,spectral_photon_rate_all_angles_per_s_per_keV,photon_rate_at_sample_per_s,recorded_useful_rate_per_s,recorded_useful_rate_low_per_s,recorded_useful_rate_high_per_s,full_xanes_time_h,full_xanes_time_best_h,full_xanes_time_worst_h,meets_12h_nominal
phase0_W_75W,60.0,75.0,0.003996,0.2997,1404075402654.9094,8.86014944866037,0.26282912963488764,0.07884873889046629,0.7884873889046629,85.39557421060375,28.465191403534586,284.65191403534584,False
upgrade_500W,100.0,500.0,0.00666,3.33,12131732713426.64,76.55498038703298,2.270941250023948,0.6812823750071844,6.812823750071844,9.883322364331423,3.2944407881104745,32.944407881104745,True
benchmark_2kW,40.0,2000.0,0.002664,5.328,23585860592161.36,148.83406498445729,4.41504152797352,1.3245124583920558,13.245124583920559,5.083631558669919,1.694543852889973,16.94543852889973,True
